view_date, dashboard_name , total_view_count_per_day
2020-12-23,revenue-factura-before-returs,3
2020-12-18,revenue-factura-before-returs,1
2020-10-05,user-stats,1
2020-10-09,revenue-factura-before-returs,2
2020-12-21,revenue-factura-before-returs,1
2020-12-18,shop-performance-overview,1
2020-12-23,process-time,1
2020-10-22,provisioning-quotes,1
2020-12-23,sales-trend,2
2020-12-29,marketing-overview,12
2020-12-22,process-time,2
2020-10-22,delivery-quotes,3
2020-12-29,revenue-factura,3
2020-12-22,shipment-orders,1
2020-11-10,supplies,1
2020-12-10,delivery-quotes,1
2020-11-02,revenue-factura-before-returs,1
2020-10-31,sales-comparison,35
2020-12-22,sales-trend,1
2020-10-15,delivery-quotes,3
2020-11-10,delivery-quotes,1
2020-11-10,value-returned,1
2020-11-10,shipment-orders,1
2020-10-15,provisioning-quotes,1
2020-10-31,weekly-sales-comparison,22
2020-11-20,shop-performance-overview,1
2020-10-08,shipment-orders,2
2020-10-26,shipment-orders,7
2020-12-28,revenue-factura,4
2020-10-08,process-time,1
2020-12-31,sales-comparison,65
2020-11-15,weekly-sales-comparison,42
2020-12-31,marketing-overview,5
2020-12-24,sales-comparison,87
2020-11-08,sales-comparison,55
2020-12-24,revenue-factura-before-returs,1
2020-12-24,weekly-sales-comparison,4
2020-10-11,marketing-overview,3
2020-11-07,sales-comparison,28
2020-10-11,sales-comparison,60
2020-12-20,shipment-parcels,4
2020-10-10,sales-comparison,62
2020-11-08,weekly-sales-comparison,11
2020-12-20,revenue-factura,5
2020-12-24,marketing-overview,10
2020-10-13,delivery-quotes,2
2020-12-24,revenue-factura,5
2020-12-20,sales-comparison,40
2020-12-20,marketing-overview,5
2020-10-10,weekly-sales-comparison,8
2020-10-07,shipment-orders,4
2020-10-11,weekly-sales-comparison,39
2020-11-14,sales-comparison,35
2020-11-14,weekly-sales-comparison,18
2020-12-21,sales-trend,1
2020-10-16,delivery-quotes,1
2020-10-07,supplies,1
2020-10-16,shipment-parcels,1
2020-11-14,revenue-factura,7
2020-10-07,delivery-quotes,2
2020-12-24,user-stats,1
2020-12-07,marketing-cost,1
2020-11-07,weekly-sales-comparison,36
2020-11-21,weekly-sales-comparison,31
2020-12-02,delivery-quotes,1
2020-12-31,revenue-factura,1
2020-11-06,marketing-crm-scorecard,1
2020-10-26,value-returned,1
2020-10-28,supplies,1
2020-12-06,sales-comparison,33
2020-10-04,sales-trend,1
2020-12-29,supplies,2
2020-10-27,delivery-quotes,1
2020-10-04,weekly-sales-comparison,42
2020-12-29,provisioning-quotes,1
2020-11-29,sales-comparison,70
2020-11-19,process-time,2
2020-11-06,shop-performance-overview,1
2020-10-04,sales-comparison,32
2020-11-17,provisioning-quotes,1
2020-11-19,delivery-quotes,2
2020-12-27,sales-comparison,18
2020-12-23,shipment-orders,1
2020-10-17,sales-comparison,31
2020-12-12,sales-comparison,25
2020-10-25,sales-comparison,45
2020-12-13,sales-comparison,27
2020-12-04,shipment-orders,1
2020-10-17,weekly-sales-comparison,30
2020-12-23,delivery-quotes,1
2020-10-24,sales-comparison,25
2020-10-24,revenue-factura,1
2020-12-27,weekly-sales-comparison,18
2020-10-24,weekly-sales-comparison,10
2020-10-01,shipment-parcels,2
2020-10-25,weekly-sales-comparison,26
2020-10-31,shipment-parcels,4
2020-11-12,shipment-orders,1
2020-10-31,value-returned,2
2020-10-31,revenue-factura,10
2020-10-08,revenue-factura-before-returs,1
2020-12-18,value-returned,3
2020-10-03,sales-comparison,36
2020-12-25,sales-comparison,16
2020-10-18,sales-comparison,68
2020-12-24,shop-performance-overview,1
2020-10-03,marketing-overview,2
2020-11-15,sales-comparison,31
2020-11-01,delivery-quotes,3
2020-11-15,shipment-parcels,6
2020-12-24,delivery-quotes,1
2020-12-24,shipment-parcels,2
2020-11-19,revenue-factura-before-returs,1
