view_date,dashboard_name, total_view_count_per_day
2020-04-24,weekly-sales-comparison,10
2020-08-19,revenue-factura,9
2020-03-05,marketing-affiliate-scorecard,1
2020-11-09,weekly-sales-comparison,40
2020-08-18,delivery-quotes,9
2020-06-22,user-stats,3
2020-11-17,weekly-sales-comparison,33
2020-08-18,revenue-factura,3
2020-07-07,supplies,1
2020-12-16,marketing-overview,33
2020-09-11,marketing-overview,9
2019-05-31,marketing-overview,11
2020-04-24,marketing-overview,20
2020-06-08,weekly-sales-comparison,61
2020-03-12,shipment-parcels,7
2020-04-06,weekly-sales-comparison,55
2020-08-18,shipment-parcels,3
2020-11-06,shipment-parcels,15
2019-06-25,shop-performance-overview,10
2020-04-06,shipment-parcels,13
2020-06-22,shipment-parcels,5
2020-11-06,marketing-overview,36
2020-11-09,sales-trend,6
2019-06-25,marketing-overview,36
2020-08-18,sales-comparison,367
2020-12-16,shipment-parcels,17
2020-08-25,sales-comparison,369
2020-03-12,marketing-overview,24
2020-09-17,marketing-affiliate-scorecard,2
2020-06-08,shop-performance-overview,3
2020-03-12,revenue-factura,1
2020-04-24,value-returned,1
2020-08-19,sales-comparison,364
2020-04-24,revenue-factura,15
2020-08-25,shipment-orders,7
2020-03-12,revenue-factura-before-returs,1
2020-04-06,shipment-orders,3
2020-03-12,weekly-sales-comparison,51
2020-09-11,sales-comparison,278
2020-03-20,sales-comparison,504
2019-08-13,process-time,1
2020-06-22,sales-trend,1
2019-06-25,weekly-overview,6
2020-03-20,sales-trend,5
2020-08-19,value-returned,2
2020-12-16,sales-comparison,269
2020-03-20,weekly-sales-comparison,47
2020-04-06,revenue-factura-before-returs,1
2020-06-22,sales-comparison,360
2020-09-11,weekly-sales-comparison,18
2020-04-24,shipment-parcels,2
2020-04-06,sales-comparison,574
2019-08-13,marketing-crm-scorecard,3
2020-08-21,sales-comparison,258
2020-07-07,user-stats,1
2020-08-21,value-returned,5
2020-03-12,delivery-quotes,5
2020-11-17,marketing-overview,26
2020-08-19,marketing-overview,18
2020-11-06,value-returned,4
2020-12-16,weekly-sales-comparison,30
2020-09-11,revenue-factura,8
2020-04-24,revenue-factura-before-returs,2
2020-04-06,process-time,1
2020-08-21,weekly-sales-comparison,29
2020-11-09,marketing-overview,32
2019-08-13,shipment-orders,3
2019-08-13,shipment-parcels,2
2020-04-06,marketing-overview,35
2020-07-07,provisioning-quotes,2
2019-06-25,marketing-channel-overview,3
2020-11-09,shipment-parcels,26
2020-09-11,delivery-quotes,3
2019-08-05,sales-comparison,221
2020-03-20,revenue-factura,9
2020-10-27,marketing-overview,24
2020-11-04,revenue-factura,12
2019-09-04,sales-comparison,145
2020-03-23,shipment-parcels,8
2020-11-04,delivery-quotes,10
2020-11-04,weekly-sales-comparison,95
2020-09-14,marketing-cost,2
2019-06-05,sales-trend,9
2020-10-27,sales-comparison,380
2020-05-07,sales-comparison,335
2020-09-14,weekly-sales-comparison,30
2020-07-28,weekly-sales-comparison,2
2019-08-05,marketing-overview,27
2020-05-04,shipment-parcels,10
2019-07-03,sales-comparison,142
2020-05-04,shop-performance-overview,7
2019-06-05,sales-comparison,218
2020-07-16,marketing-overview,20
2019-07-03,delivery-quotes,17
2020-10-07,sales-comparison,326
2020-11-25,sales-comparison,401
2020-10-02,marketing-overview,31
2020-10-02,weekly-sales-comparison,25
2019-09-04,weekly-sales-comparison,44
2020-03-23,delivery-quotes,9
2020-07-16,weekly-sales-comparison,28
2020-09-14,shipment-parcels,9
2020-09-14,revenue-factura,18
2020-11-25,marketing-overview,31
2020-05-04,shipment-orders,2
2020-07-28,sales-comparison,276
2020-03-05,delivery-quotes,3
2019-07-03,shipment-orders,9
2020-10-15,revenue-factura,7
2020-10-15,sales-comparison,306
2020-03-23,weekly-sales-comparison,45
2019-07-10,weekly-overview,4
2020-11-04,shipment-parcels,16
2020-03-20,shipment-orders,1
2020-09-14,sales-trend,3
